iter	Logloss
0	0.6439629596
1	0.6060419807
2	0.5782480239
3	0.5584425322
4	0.5406863511
5	0.5267872243
6	0.5148404871
7	0.5005240349
8	0.4926768842
9	0.4859654871
10	0.4782693934
11	0.4729467142
12	0.468560455
13	0.4646971048
14	0.4609992417
15	0.4566381434
16	0.4542856388
17	0.4524148667
18	0.4502705193
19	0.4486579044
20	0.4469060202
21	0.4455548024
22	0.4412534007
23	0.4401579044
24	0.4390665441
25	0.4383967601
26	0.4376214614
27	0.4353345358
28	0.4348634191
29	0.4343204044
30	0.4338496553
31	0.4333056756
32	0.4328091222
33	0.432404205
34	0.4317723346
35	0.4314918888
36	0.4308453814
37	0.4300158088
38	0.4296454044
39	0.4294106388
40	0.4291971048
41	0.4289825827
42	0.4279703585
43	0.4277688879
44	0.4276537454
45	0.4275073989
46	0.427312523
47	0.4271988051
48	0.4270362822
49	0.4267982767
50	0.4265178768
51	0.4263825368
52	0.4262627298
53	0.4255051241
54	0.4253467601
55	0.4252121094
56	0.4251255055
57	0.4250214614
58	0.4249230239
59	0.4248264936
60	0.4247508502
61	0.4242608915
62	0.4241696232
63	0.4240557215
64	0.4239529871
65	0.4238425092
66	0.4237025735
67	0.4236485754
68	0.4235857996
69	0.42348125
70	0.4234
71	0.4233022518
72	0.4231971048
73	0.4230127298
74	0.4229059283
75	0.4228246324
76	0.4227075368
77	0.4226124081
78	0.4225097426
79	0.4224006434
80	0.4223337316
81	0.4222470358
82	0.4221690717
83	0.4220915211
84	0.4220308134
85	0.4219548483
86	0.421821898
87	0.4217608915
88	0.4216932675
89	0.4216339384
90	0.4215485983
91	0.421440625
92	0.4213433824
93	0.4212350184
94	0.4211694393
95	0.421097932
96	0.4209988511
97	0.4209351562
98	0.4208519301
99	0.4207848346
100	0.4206951746
101	0.4206468061
102	0.4205922794
103	0.4205079274
104	0.420171898
105	0.4200826057
106	0.4200037684
107	0.419942716
108	0.4198673254
109	0.4198127757
110	0.4197338695
111	0.4196818015
112	0.4196051471
113	0.4195527114
114	0.4195305147
115	0.4192498621
116	0.4192217142
117	0.4191474035
118	0.4191148667
119	0.4190382353
120	0.418941682
121	0.4187435892
122	0.4186764246
123	0.4185815947
124	0.4185254366
125	0.4184914982
126	0.4184278493
127	0.4183591452
128	0.4183011949
129	0.4182247932
130	0.4181647978
131	0.4180917969
132	0.4180306066
133	0.4179546415
134	0.4178960937
135	0.4178619026
136	0.4177082721
137	0.4176399816
138	0.4175943015
139	0.417507307
140	0.4174309053
141	0.417385386
142	0.4172753676
143	0.4172112592
144	0.4171723116
145	0.4171269301
146	0.417092739
147	0.4170133732
148	0.4169790441
149	0.4169388557
150	0.4168729779
151	0.4168201746
152	0.4167743336
153	0.4167299173
154	0.4166530331
155	0.4165918888
156	0.4165174862
157	0.4164759421
158	0.4164292509
159	0.4163674173
160	0.4163209329
161	0.416243727
162	0.4161927619
163	0.4161555607
164	0.4160918428
165	0.4160363971
166	0.4159893612
167	0.4159086167
168	0.4158669347
169	0.4158365809
170	0.415788557
171	0.4157017463
172	0.4156352711
173	0.4155733456
174	0.4155065257
175	0.4154442555
176	0.4153975643
177	0.4153181985
178	0.4152525965
179	0.4152181756
180	0.4151387638
181	0.4150713235
182	0.414971921
183	0.4149147748
184	0.4148505515
185	0.4147918658
186	0.414759375
187	0.4146929458
188	0.4146386029
189	0.4145977252
190	0.4145456112
191	0.4144904412
192	0.4144049632
193	0.4143362592
194	0.4142772518
195	0.4141966682
196	0.4141459329
197	0.4140845358
198	0.414052091
199	0.4140048483
200	0.413937546
201	0.413909329
202	0.4138358915
203	0.4137518153
204	0.4137052619
205	0.4136557904
206	0.4136144531
207	0.4135524357
208	0.4134953814
209	0.4134363511
210	0.4134091222
211	0.4133311811
212	0.4132478401
213	0.413162546
214	0.4131008042
215	0.4130335937
216	0.412964568
217	0.4128897978
218	0.4128380974
219	0.4127700827
220	0.4127157629
221	0.4126492417
222	0.4125863741
223	0.4125181296
224	0.4124829044
225	0.4124169347
226	0.4123438189
227	0.4122789752
228	0.412217739
229	0.4121494485
230	0.4120922794
231	0.4120193704
232	0.4119105239
233	0.4118818015
234	0.4118465074
235	0.4117669577
236	0.4117030561
237	0.4116117417
238	0.4115732077
239	0.4115053768
240	0.4114737822
241	0.4113991498
242	0.4113659007
243	0.4112868107
244	0.4112210248
245	0.4111730239
246	0.411128125
247	0.4110743107
248	0.4110026195
249	0.4109420496
250	0.4108917279
251	0.4108308364
252	0.4107511259
253	0.4107085018
254	0.4106371094
255	0.4105757123
256	0.4105186121
257	0.4104553079
258	0.4103985064
259	0.4103287454
260	0.4102575827
261	0.4101807675
262	0.4101488511
263	0.4101152803
264	0.4100870864
265	0.4100295267
266	0.409988557
267	0.4099181985
268	0.4098659697
269	0.4098021599
270	0.4097632123
271	0.4096984605
272	0.4096468061
273	0.4095942325
274	0.4095293888
275	0.4094748621
276	0.4093934053
277	0.4093370634
278	0.4092879366
279	0.4092649357
280	0.4092137638
281	0.4091329044
282	0.4090777114
283	0.4090241498
284	0.4089605469
285	0.4088826976
286	0.4088332031
287	0.4087883272
288	0.4087203355
289	0.4086647978
290	0.4086046645
291	0.4085473575
292	0.4084825827
293	0.4084276884
294	0.4084158088
295	0.4083774127
296	0.4082987822
297	0.4082257123
298	0.4081649586
299	0.4080988281
300	0.408059352
301	0.4079991498
302	0.4079482077
303	0.4079045726
304	0.4078236903
305	0.4077674632
306	0.4077129596
307	0.4076484145
308	0.4076081572
309	0.4075596967
310	0.4075159007
311	0.407463557
312	0.4073715303
313	0.4073340763
314	0.4072922794
315	0.4072326517
316	0.407197909
317	0.4071244256
318	0.4070663603
319	0.4070236443
320	0.4069748621
321	0.4069164292
322	0.4068752298
323	0.4068453125
324	0.4067815028
325	0.4067222197
326	0.4066922794
327	0.4066588925
328	0.4066051471
329	0.4065404412
330	0.4064765625
331	0.4064433134
332	0.4064036994
333	0.4063607767
334	0.4063462776
335	0.4062994026
336	0.4062608686
337	0.4062251838
338	0.4061615349
339	0.4061149816
340	0.406066636
341	0.4060217601
342	0.4059789752
343	0.4059398667
344	0.4059045726
345	0.4058492647
346	0.4058042279
347	0.4057449678
348	0.405690579
349	0.4056403952
350	0.4055847656
351	0.4055361443
352	0.4054911994
353	0.405429182
354	0.4053732077
355	0.4053138557
356	0.4052759421
357	0.4052293199
358	0.4052005974
359	0.4051657399
360	0.4051234145
361	0.4050715993
362	0.4050553998
363	0.4049631893
364	0.4048820312
365	0.404846875
366	0.4048080882
367	0.404788557
368	0.4047363741
369	0.4046955882
370	0.4046441176
371	0.4045666131
372	0.4044889246
373	0.4044202436
374	0.4043748621
375	0.4043112822
376	0.4043052849
377	0.4042452436
378	0.4041913833
379	0.4041382353
380	0.4040757353
381	0.4040092371
382	0.4039571232
383	0.4039241728
384	0.4038646599
385	0.4038315257
386	0.4037570313
387	0.4037481847
388	0.4037030331
389	0.4036480928
390	0.4035940487
391	0.4035431296
392	0.4034943244
393	0.4034397978
394	0.4033901654
395	0.4033515625
396	0.4033019991
397	0.4032735983
398	0.4032201517
399	0.4031753676
400	0.4031099035
401	0.403045841
402	0.4030144761
403	0.4029733226
404	0.4029368796
405	0.4028761489
406	0.4028207031
407	0.4027650965
408	0.4027357767
409	0.4026899127
410	0.4026467831
411	0.4025927849
412	0.402523943
413	0.4024777574
414	0.4024523208
415	0.4024127068
416	0.4023684743
417	0.4023178309
418	0.4022810662
419	0.4022744715
420	0.4022043658
421	0.4021464614
422	0.402086443
423	0.4020484375
424	0.4020097656
425	0.4019507353
426	0.4018938649
427	0.4018235983
428	0.4017860524
429	0.4017284926
430	0.4016933594
431	0.4016462546
432	0.4016441636
433	0.4016039062
434	0.4015616039
435	0.4015079274
436	0.4014529871
437	0.4013951976
438	0.4013376838
439	0.4012844669
440	0.4012308824
441	0.4011680607
442	0.4011425092
443	0.401102068
444	0.4010477482
445	0.401016636
446	0.4009700597
447	0.4009376149
448	0.4008977252
449	0.4008643382
450	0.4007949678
451	0.4007530561
452	0.4007022978
453	0.4006507123
454	0.4005924632
455	0.4005537684
456	0.4005079963
457	0.4004559743
458	0.4004117187
459	0.4003701976
460	0.4003423254
461	0.4002978171
462	0.4002690487
463	0.4002215993
464	0.4001578355
465	0.4001165671
466	0.4000785386
467	0.4000462776
468	0.400009352
469	0.3999680147
470	0.3999192785
471	0.3998631893
472	0.3998077206
473	0.3997659926
474	0.3997108456
475	0.3996570772
476	0.3996140855
477	0.3995585018
478	0.399537523
479	0.3994650965
480	0.3994230928
481	0.399387523
482	0.3993234375
483	0.3992774816
484	0.3992318015
485	0.3991731847
486	0.3991256434
487	0.3990843061
488	0.3990319853
489	0.398993773
490	0.3989563189
491	0.398925023
492	0.3988717371
493	0.3988322381
494	0.3987856388
495	0.3987399127
496	0.3986893612
497	0.398640671
498	0.3985855239
499	0.398530239
500	0.3984790901
501	0.3984473116
502	0.398388534
503	0.3983516774
504	0.3982988051
505	0.3982340074
506	0.3981978171
507	0.3981508732
508	0.3980957031
509	0.3980471967
510	0.3980053079
511	0.3979420496
512	0.3978994026
513	0.397889568
514	0.3978406939
515	0.3977959559
516	0.397733341
517	0.3976927619
518	0.3976540441
519	0.3975890395
520	0.3975476562
521	0.3974721737
522	0.3974373851
523	0.3973825827
524	0.3973490579
525	0.3972869485
526	0.3972583869
527	0.3972183824
528	0.3971995634
529	0.3971448989
530	0.3970846967
531	0.3970360064
532	0.3969921875
533	0.3969637868
534	0.3969391774
535	0.3968844669
536	0.3968450827
537	0.3967950138
538	0.3967414292
539	0.3967087316
540	0.3966481847
541	0.3966028722
542	0.396569784
543	0.3965185892
544	0.3964568704
545	0.3964034467
546	0.3964009651
547	0.396365625
548	0.3963150276
549	0.3962869256
550	0.3962421415
551	0.3961976333
552	0.3961738971
553	0.3961229779
554	0.3960931756
555	0.3960540211
556	0.396006204
557	0.395977114
558	0.3959372243
559	0.3958802849
560	0.3958397518
561	0.3957863051
562	0.3957462546
563	0.3957002298
564	0.3956641085
565	0.3956482537
566	0.3956066866
567	0.3955779412
568	0.3955311121
569	0.3954913603
570	0.3954429458
571	0.3954066176
572	0.3953633961
573	0.3953201746
574	0.3952961167
575	0.3952474724
576	0.3951981388
577	0.3951664752
578	0.3951314798
579	0.3951034007
580	0.3950762868
581	0.3950181985
582	0.3949629596
583	0.3949246783
584	0.3948877987
585	0.3948398667
586	0.3947876608
587	0.3947595588
588	0.3947112822
589	0.3946790901
590	0.3946636719
591	0.3946340533
592	0.3946038833
593	0.3945589614
594	0.3945154412
595	0.3944711857
596	0.3944323759
597	0.3943965763
598	0.3943539522
599	0.3942973346
600	0.3942796875
601	0.394229136
602	0.3941954733
603	0.3941662224
604	0.3941094899
605	0.3940753447
606	0.394032307
607	0.3939882123
608	0.393954136
609	0.393898943
610	0.3938633732
611	0.3938307904
612	0.3937826746
613	0.3937455193
614	0.3937019072
615	0.3936681985
616	0.393613511
617	0.3935879366
618	0.3935324678
619	0.3935049632
620	0.3934682215
621	0.3934332261
622	0.3934028493
623	0.3933651195
624	0.3933423483
625	0.393303125
626	0.3932672794
627	0.3932213235
628	0.3931845358
629	0.3931241268
630	0.3931210478
631	0.3930928539
632	0.3930732767
633	0.3930491728
634	0.3930034467
635	0.3929650046
636	0.3929139246
637	0.392889568
638	0.3928583869
639	0.3928132812
640	0.3927783778
641	0.3927311581
642	0.392690579
643	0.3926409237
644	0.3926005055
645	0.3925664292
646	0.3925397059
647	0.392509329
648	0.3924803768
649	0.3924425781
650	0.3923838695
651	0.392349977
652	0.3923176241
653	0.3922762408
654	0.3922376149
655	0.392209375
656	0.3921683824
657	0.3921337776
658	0.3920922105
659	0.3920560892
660	0.3920127298
661	0.3919626838
662	0.3919168199
663	0.3918602252
664	0.3918375689
665	0.3917911075
666	0.3917491039
667	0.3917028493
668	0.3916692555
669	0.3916340533
670	0.3916094669
671	0.39156983
672	0.3915201287
673	0.3914758272
674	0.391458364
675	0.3914331342
676	0.3913676011
677	0.3913319393
678	0.3913084559
679	0.3912745404
680	0.3912304688
681	0.3911924632
682	0.3911395221
683	0.3911042969
684	0.3910733686
685	0.3910149357
686	0.3909793658
687	0.3909360754
688	0.3908923483
689	0.3908443244
690	0.3908084559
691	0.3907893153
692	0.3907383732
693	0.3907142463
694	0.3906730928
695	0.3906402803
696	0.3905935202
697	0.3905480928
698	0.3904961857
699	0.3904738281
700	0.3904203585
701	0.3903938649
702	0.3903693934
703	0.3903288143
704	0.3902910386
705	0.3902774816
706	0.3902548254
707	0.3902165211
708	0.3901720129
709	0.3901307215
710	0.390086489
711	0.3900558594
712	0.3900243566
713	0.3899900965
714	0.3899618566
715	0.3899351333
716	0.3899102022
717	0.3898746094
718	0.3898513327
719	0.3898021369
720	0.3897664292
721	0.3896998392
722	0.3896669577
723	0.3896408548
724	0.3896263097
725	0.3895944393
726	0.3895444393
727	0.3895018842
728	0.3894675092
729	0.3894224954
730	0.3893838235
731	0.3893508502
732	0.3892991958
733	0.3892628906
734	0.3892373851
735	0.3891988971
736	0.3891561121
737	0.3890954274
738	0.3890709099
739	0.3890142004
740	0.3889771829
741	0.3889540441
742	0.3889266085
743	0.3889243796
744	0.3888841682
745	0.3888410846
746	0.3888088235
747	0.3887735983
748	0.3887310202
749	0.3887037224
750	0.3886901654
751	0.3886515165
752	0.3886147059
753	0.388564591
754	0.3885339844
755	0.3884866958
756	0.3884737822
757	0.3884279412
758	0.3883816636
759	0.3883573989
760	0.3883417509
761	0.3882931296
762	0.3882443934
763	0.3882170726
764	0.3881688419
765	0.3881534926
766	0.388125
767	0.3881130974
768	0.3880726103
769	0.3880390395
770	0.3879988971
771	0.3879737132
772	0.3879378676
773	0.3879008272
774	0.3878563189
775	0.3878164292
776	0.3877839844
777	0.3877506893
778	0.3876857537
779	0.3876519531
780	0.3876064798
781	0.3875664982
782	0.3875346737
783	0.3874844669
784	0.3874509421
785	0.3874120864
786	0.3873668888
787	0.3873238281
788	0.3872894991
789	0.3872480009
790	0.3872106847
791	0.387164614
792	0.3871120979
793	0.3870880055
794	0.3870472312
795	0.3869963465
796	0.3869715074
797	0.3869340763
798	0.3868690257
799	0.386842176
800	0.3867950138
801	0.3867644416
802	0.386731744
803	0.3867081227
804	0.3866610983
805	0.3866007813
806	0.3865576976
807	0.386538017
808	0.3865065602
809	0.3864649357
810	0.3864212546
811	0.3863888787
812	0.3863355354
813	0.3863138557
814	0.386310949
815	0.3862693244
816	0.3862369026
817	0.3862094784
818	0.3861741498
819	0.386135455
820	0.3861010455
821	0.386071381
822	0.3860263442
823	0.3859855584
824	0.3859453699
825	0.3859198989
826	0.3858755285
827	0.3858377298
828	0.3858366843
829	0.3858067096
830	0.3857632583
831	0.3857357996
832	0.3856902344
833	0.3856677505
834	0.3856506204
835	0.3856172909
836	0.3855779182
837	0.3855596852
838	0.3855279297
839	0.3854811236
840	0.3854459099
841	0.3854039177
842	0.3853678424
843	0.3853228171
844	0.3852791245
845	0.3852509421
846	0.3852136719
847	0.3851865694
848	0.385144221
849	0.3851151884
850	0.3850794577
851	0.3850430262
852	0.3849842831
853	0.3849538833
854	0.3849235869
855	0.3848967601
856	0.3848522863
857	0.3848281824
858	0.3847949219
859	0.3847772174
860	0.3847196576
861	0.3846839959
862	0.3846599839
863	0.3846148437
864	0.3845724494
865	0.3845465533
866	0.3845034007
867	0.384469784
868	0.3844413603
869	0.384407307
870	0.3843728975
871	0.38434375
872	0.3843170496
873	0.3842739545
874	0.3842522978
875	0.3842193704
876	0.3841794118
877	0.3841320427
878	0.3840996094
879	0.3840599494
880	0.3840224035
881	0.3840034812
882	0.3839611213
883	0.3839284467
884	0.3838965763
885	0.3838674862
886	0.3838221967
887	0.3837654756
888	0.3837397174
889	0.3837052849
890	0.3836735983
891	0.38361304
892	0.3835717142
893	0.3835434972
894	0.3835197955
895	0.3834863971
896	0.3834425207
897	0.3834074678
898	0.3833845129
899	0.3833485983
900	0.3833136719
901	0.3833050896
902	0.383285432
903	0.3832385455
904	0.3832002987
905	0.3831702551
906	0.3831179113
907	0.3830738626
908	0.3830575368
909	0.3830127068
910	0.3829744715
911	0.3829334099
912	0.3828846278
913	0.3828623392
914	0.382842222
915	0.3828188419
916	0.3827680492
917	0.3827332261
918	0.3826994141
919	0.3826702895
920	0.3826290097
921	0.3825919003
922	0.3825526195
923	0.382512546
924	0.3824821691
