iter	Passed	Remaining
0	176	176044
1	236	118059
2	286	95294
3	347	86642
4	394	78538
5	434	72023
6	475	67413
7	513	63623
8	552	60823
9	589	58409
10	628	56490
11	665	54806
12	703	53431
13	741	52229
14	780	51275
15	822	50567
16	861	49817
17	899	49095
18	939	48532
19	980	48059
20	1021	47635
21	1079	47995
22	1138	48382
23	1180	48002
24	1225	47803
25	1274	47757
26	1331	47977
27	1380	47906
28	1429	47855
29	1477	47766
30	1528	47762
31	1575	47657
32	1622	47553
33	1683	47843
34	1748	48205
35	1801	48251
36	1851	48193
37	1928	48821
38	1977	48728
39	2027	48650
40	2149	50269
41	2261	51578
42	2303	51258
43	2342	50903
44	2381	50541
45	2420	50204
46	2455	49782
47	2495	49489
48	2535	49207
49	2574	48912
50	2615	48661
51	2654	48393
52	2693	48128
53	2732	47869
54	2772	47636
55	2818	47508
56	2856	47254
57	2895	47023
58	2934	46807
59	2972	46574
60	3010	46347
61	3050	46144
62	3086	45912
63	3130	45788
64	3169	45586
65	3207	45396
66	3247	45221
67	3286	45043
68	3323	44840
69	3364	44698
70	3403	44531
71	3441	44356
72	3480	44200
73	3521	44064
74	3560	43910
75	3598	43751
76	3637	43607
77	3677	43467
78	3717	43338
79	3757	43210
80	3805	43171
81	3844	43037
82	3882	42895
83	3921	42762
84	3959	42627
85	3998	42499
86	4034	42344
87	4073	42217
88	4115	42125
89	4158	42049
90	4197	41932
91	4236	41808
92	4277	41714
93	4315	41596
94	4356	41497
95	4394	41385
96	4435	41290
97	4477	41207
98	4517	41117
99	4557	41014
100	4597	40922
101	4636	40815
102	4673	40703
103	4714	40615
104	4752	40509
105	4796	40456
106	4834	40350
107	4874	40256
108	4913	40166
109	4951	40065
110	4990	39971
111	5030	39885
112	5072	39815
113	5131	39882
114	5182	39884
115	5239	39925
116	5294	39959
117	5363	40089
118	5412	40067
119	5452	39984
120	5493	39906
121	5532	39813
122	5571	39721
123	5609	39631
124	5649	39544
125	5693	39494
126	5742	39475
127	5786	39420
128	5826	39337
129	5873	39306
130	5922	39290
131	5981	39331
132	6079	39630
133	6160	39815
134	6233	39940
135	6336	40252
136	6447	40611
137	6551	40925
138	6608	40936
139	6649	40847
140	6688	40748
141	6728	40655
142	6766	40554
143	6808	40472
144	6845	40367
145	6906	40395
146	6983	40520
147	7026	40451
148	7066	40361
149	7108	40283
150	7148	40192
151	7187	40099
152	7228	40014
153	7267	39922
154	7308	39840
155	7347	39751
156	7389	39677
157	7427	39583
158	7467	39499
159	7509	39425
160	7547	39332
161	7587	39251
162	7625	39158
163	7663	39063
164	7702	38981
165	7740	38891
166	7784	38827
167	7823	38744
168	7861	38656
169	7899	38566
170	7937	38478
171	7976	38396
172	8039	38429
173	8082	38369
174	8122	38289
175	8161	38209
176	8200	38128
177	8241	38059
178	8282	37988
179	8325	37927
180	8364	37848
181	8403	37771
182	8439	37678
183	8478	37598
184	8520	37535
185	8557	37451
186	8593	37362
187	8633	37288
188	8672	37214
189	8713	37146
190	8751	37069
191	8792	37002
192	8831	36928
193	8876	36877
194	8915	36806
195	8953	36728
196	8991	36649
197	9030	36576
198	9076	36532
199	9113	36455
200	9153	36385
201	9187	36296
202	9225	36220
203	9269	36168
204	9309	36102
205	9345	36021
206	9383	35946
207	9420	35871
208	9460	35803
209	9498	35733
210	9533	35650
211	9572	35581
212	9611	35514
213	9650	35445
214	9696	35404
215	9738	35345
216	9779	35287
217	9818	35220
218	9855	35148
219	9894	35081
220	9933	35013
221	9971	34945
222	10010	34879
223	10049	34814
224	10087	34745
225	10125	34678
226	10166	34620
227	10205	34556
228	10245	34495
229	10288	34443
230	10328	34384
231	10368	34322
232	10408	34263
233	10449	34205
234	10486	34137
235	10525	34073
236	10563	34009
237	10605	33955
238	10642	33888
239	10682	33829
240	10720	33763
241	10766	33722
242	10804	33656
243	10841	33590
244	10881	33534
245	10921	33473
246	10959	33410
247	10996	33345
248	11034	33282
249	11084	33252
250	11123	33192
251	11164	33138
252	11205	33085
253	11243	33022
254	11284	32969
255	11323	32907
256	11362	32848
257	11401	32790
258	11440	32730
259	11479	32673
260	11519	32617
261	11558	32557
262	11598	32503
263	11637	32444
264	11674	32380
265	11712	32318
266	11752	32265
267	11791	32207
268	11830	32148
269	11869	32092
270	11908	32033
271	11947	31976
272	11985	31917
273	12042	31908
274	12081	31852
275	12118	31788
276	12157	31733
277	12195	31673
278	12233	31613
279	12270	31553
280	12310	31500
281	12350	31446
282	12389	31390
283	12431	31340
284	12470	31285
285	12507	31225
286	12546	31170
287	12587	31118
288	12626	31063
289	12663	31003
290	12701	30947
291	12745	30902
292	12784	30847
293	12825	30797
294	12859	30732
295	12898	30676
296	12937	30622
297	12977	30571
298	13020	30527
299	13063	30480
300	13100	30423
301	13139	30369
302	13178	30315
303	13215	30257
304	13255	30205
305	13294	30150
306	13332	30096
307	13371	30042
308	13415	30000
309	13454	29947
310	13493	29894
311	13531	29839
312	13572	29790
313	13609	29733
314	13648	29679
315	13688	29628
316	13729	29581
317	13767	29526
318	13809	29481
319	13850	29432
320	13889	29380
321	13927	29326
322	13965	29271
323	14003	29217
324	14042	29164
325	14079	29109
326	14117	29054
327	14153	28997
328	14192	28945
329	14231	28893
330	14269	28840
331	14301	28775
332	14338	28720
333	14378	28669
334	14414	28613
335	14453	28562
336	14490	28507
337	14528	28455
338	14566	28401
339	14606	28353
340	14644	28302
341	14685	28255
342	14726	28207
343	14763	28153
344	14801	28100
345	14840	28051
346	14877	27997
347	14916	27946
348	14957	27900
349	14997	27852
350	15037	27803
351	15074	27750
352	15113	27701
353	15151	27649
354	15190	27599
355	15231	27552
356	15270	27503
357	15308	27452
358	15346	27400
359	15384	27349
360	15423	27301
361	15462	27250
362	15497	27195
363	15538	27149
364	15576	27098
365	15613	27046
366	15653	26998
367	15691	26948
368	15732	26902
369	15769	26851
370	15809	26803
371	15849	26756
372	15888	26707
373	15929	26663
374	15969	26615
375	16009	26569
376	16045	26515
377	16083	26465
378	16121	26415
379	16160	26366
380	16199	26318
381	16239	26272
382	16278	26223
383	16316	26174
384	16356	26128
385	16394	26078
386	16434	26031
387	16469	25977
388	16507	25928
389	16547	25881
390	16586	25834
391	16625	25786
392	16663	25737
393	16706	25695
394	16745	25647
395	16784	25601
396	16824	25555
397	16861	25503
398	16901	25458
399	16942	25413
400	16984	25371
401	17025	25326
402	17063	25277
403	17102	25230
404	17141	25183
405	17181	25137
406	17220	25090
407	17260	25043
408	17296	24993
409	17336	24947
